dataset,method_config,family,benchmark,k_policy,seeds,mean_ari,std_ari,n_seeds,mean_seconds
151670,minibatch_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2112,0.0742,3,3.27
151670,optics,sklearn,5x10_dlpfc,oracle,"42,1,2",-0.0052,0.0,3,5.3
151670,spectral,sklearn,5x10_dlpfc,oracle,"42,1,2",0.3464,0.0004,3,4.65
151670,spagcn (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.4156,0.0,1,15.75
151670,spagcn (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.4156,0.0,1,16.43
151670,spagcn (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.4156,0.0,1,15.11
151670,spagcn (oracle-K),sota,non_oracle_k_sota,oracle,42,0.2127,0.0,1,10.53
151670,stagate (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.391,0.0,1,35.97
151670,stagate (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.391,0.0,1,44.7
151670,stagate (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.391,0.0,1,36.32
151670,stagate (oracle-K),sota,non_oracle_k_sota,oracle,42,0.2073,0.0,1,38.2
151670,agglomerative@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",-0.0738,0.0,3,6.95
151670,agglomerative@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.28,0.0,3,7.28
151670,agglomerative@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1993,0.0,3,6.97
151670,birch@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",-0.0851,0.0,3,7.43
151670,birch@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1877,0.0,3,7.5
151670,birch@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1808,0.0,3,7.45
151670,gaussian_mixture@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0802,0.027,3,7.08
151670,gaussian_mixture@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1778,0.0298,3,7.58
151670,gaussian_mixture@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2428,0.0162,3,7.3
151670,kmeans@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.262,0.0548,3,6.89
151670,kmeans@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2215,0.0509,3,7.32
151670,kmeans@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.193,0.0006,3,6.93
151670,spectral@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1074,0.001,3,10.18
151670,spectral@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.3464,0.0004,3,9.68
151670,spectral@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2207,0.0,3,7.54
151673,agglomerative,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1479,0.0,3,3.74
151673,birch,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1701,0.0,3,3.92
151673,bisecting_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2164,0.001,3,3.64
151673,dbscan,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0,0.0,3,3.51
151673,gaussian_mixture,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2351,0.0363,3,3.98
151673,kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2501,0.0247,3,3.76
151673,mean_shift,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0133,0.0,3,11.06
151673,minibatch_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2294,0.0135,3,3.54
151673,optics,sklearn,5x10_dlpfc,oracle,"42,1,2",-0.0012,0.0,3,5.54
151673,spectral,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2423,0.0002,3,4.61
